filename,knot,old_index,new_index,old_ideal_name,new_ideal_name,match_method,old_number_of_sols,new_number_of_sols,old_dimension,new_dimension,old_abelian,new_abelian,old_obstruction,new_obstruction,status
10_1(85).json,10_1,0,0,J10_1_0,J10_1_0,ideal_name,8,,0,0,False,False,-1,-1,NEW_MISSING
10_1(85).json,10_1,1,1,abJ10_1_1,abJ10_1_1,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_10(94).json,10_10,0,0,J10_10_0,J10_10_0,ideal_name,22,,0,0,False,False,-1,-1,NEW_MISSING
10_10(94).json,10_10,1,1,abJ10_10_1,abJ10_10_1,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_100(184).json,10_100,0,0,J10_100_0,J10_100_0,ideal_name,14,,0,0,False,False,-1,-1,NEW_MISSING
10_100(184).json,10_100,1,1,J10_100_1,J10_100_1,ideal_name,24,,0,0,False,False,-1,-1,NEW_MISSING
10_100(184).json,10_100,2,2,J10_100_2,J10_100_2,ideal_name,6,,0,0,False,False,1,1,NEW_MISSING
10_100(184).json,10_100,3,3,abJ10_100_3,abJ10_100_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_101(185).json,10_101,0,0,J10_101_0,J10_101_0,ideal_name,17,,0,0,False,False,-1,-1,NEW_MISSING
10_101(185).json,10_101,1,1,J10_101_1,J10_101_1,ideal_name,32,,0,0,False,False,-1,-1,NEW_MISSING
10_101(185).json,10_101,2,2,J10_101_2,J10_101_2,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_101(185).json,10_101,3,3,abJ10_101_3,abJ10_101_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_102(186).json,10_102,0,0,J10_102_0,J10_102_0,ideal_name,43,,0,0,False,False,-1,-1,NEW_MISSING
10_102(186).json,10_102,1,1,J10_102_1,J10_102_1,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_102(186).json,10_102,2,2,abJ10_102_2,abJ10_102_2,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_103(187).json,10_103,0,0,J10_103_0,J10_103_0,ideal_name,15,,0,0,False,False,-1,-1,NEW_MISSING
10_103(187).json,10_103,1,1,J10_103_1,J10_103_1,ideal_name,12,,0,0,False,False,-1,-1,NEW_MISSING
10_103(187).json,10_103,2,2,J10_103_2,J10_103_2,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_103(187).json,10_103,3,3,J10_103_3,J10_103_3,ideal_name,8,,0,0,False,False,-1,-1,NEW_MISSING
10_103(187).json,10_103,6,6,J10_103_6,J10_103_6,ideal_name,1,,0,0,False,False,-1,-1,NEW_MISSING
10_103(187).json,10_103,7,7,abJ10_103_7,abJ10_103_7,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_103(187).json,10_103,4,,J10_103_4a,,old_unmatched,4,,0,,False,,-1,,OLD_ONLY
10_103(187).json,10_103,5,,J10_103_4b,,old_unmatched,4,,0,,False,,-1,,OLD_ONLY
10_103(187).json,10_103,,4,,J10_103_4,new_unmatched,,,,0,,False,,-1,NEW_ONLY
10_103(187).json,10_103,,5,,J10_103_5,new_unmatched,,,,0,,False,,-1,NEW_ONLY
10_104(188).json,10_104,0,0,J10_104_0,J10_104_0,ideal_name,15,,0,0,False,False,-1,-1,NEW_MISSING
10_104(188).json,10_104,1,1,J10_104_1,J10_104_1,ideal_name,30,,0,0,False,False,-1,-1,NEW_MISSING
10_104(188).json,10_104,2,2,J10_104_2,J10_104_2,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_104(188).json,10_104,3,3,abJ10_104_3,abJ10_104_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_105(189).json,10_105,0,0,J10_105_0,J10_105_0,ideal_name,17,,0,0,False,False,-1,-1,NEW_MISSING
10_105(189).json,10_105,1,1,J10_105_1,J10_105_1,ideal_name,36,,0,0,False,False,-1,-1,NEW_MISSING
10_105(189).json,10_105,2,2,J10_105_2,J10_105_2,ideal_name,8,,0,0,False,False,1,1,NEW_MISSING
10_105(189).json,10_105,3,3,abJ10_105_3,abJ10_105_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_106(190).json,10_106,0,0,J10_106_0,J10_106_0,ideal_name,39,,0,0,False,False,-1,-1,NEW_MISSING
10_106(190).json,10_106,1,1,J10_106_1,J10_106_1,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_106(190).json,10_106,2,2,J10_106_2,J10_106_2,ideal_name,4,,0,0,False,False,-1,-1,NEW_MISSING
10_106(190).json,10_106,3,3,J10_106_3,J10_106_3,ideal_name,1,,0,0,False,False,-1,-1,NEW_MISSING
10_106(190).json,10_106,4,4,abJ10_106_4,abJ10_106_4,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_107(191).json,10_107,0,0,J10_107_0,J10_107_0,ideal_name,54,,0,0,False,False,-1,-1,NEW_MISSING
10_107(191).json,10_107,1,1,J10_107_1,J10_107_1,ideal_name,8,,0,0,False,False,1,1,NEW_MISSING
10_107(191).json,10_107,2,2,abJ10_107_2,abJ10_107_2,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_108(192).json,10_108,0,0,J10_108_0,J10_108_0,ideal_name,14,,0,0,False,False,-1,-1,NEW_MISSING
10_108(192).json,10_108,1,1,J10_108_1,J10_108_1,ideal_name,24,,0,0,False,False,-1,-1,NEW_MISSING
10_108(192).json,10_108,2,2,J10_108_2,J10_108_2,ideal_name,7,,0,0,False,False,1,1,NEW_MISSING
10_108(192).json,10_108,3,3,abJ10_108_3,abJ10_108_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_109(193).json,10_109,0,0,J10_109_0,J10_109_0,ideal_name,48,,0,0,False,False,-1,-1,NEW_MISSING
10_109(193).json,10_109,1,1,J10_109_1,J10_109_1,ideal_name,6,,0,0,False,False,1,1,NEW_MISSING
10_109(193).json,10_109,2,2,abJ10_109_2,abJ10_109_2,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_11(95).json,10_11,0,0,J10_11_0,J10_11_0,ideal_name,21,,0,0,False,False,-1,-1,NEW_MISSING
10_11(95).json,10_11,1,1,abJ10_11_1,abJ10_11_1,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_110(194).json,10_110,0,0,J10_110_0,J10_110_0,ideal_name,51,,0,0,False,False,-1,-1,NEW_MISSING
10_110(194).json,10_110,1,1,J10_110_1,J10_110_1,ideal_name,10,,0,0,False,False,1,1,NEW_MISSING
10_110(194).json,10_110,2,2,abJ10_110_2,abJ10_110_2,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_111(195).json,10_111,0,0,J10_111_0,J10_111_0,ideal_name,14,,0,0,False,False,-1,-1,NEW_MISSING
10_111(195).json,10_111,1,1,J10_111_1,J10_111_1,ideal_name,30,,0,0,False,False,-1,-1,NEW_MISSING
10_111(195).json,10_111,2,2,J10_111_2,J10_111_2,ideal_name,6,,0,0,False,False,1,1,NEW_MISSING
10_111(195).json,10_111,3,3,abJ10_111_3,abJ10_111_3,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
10_112(196).json,10_112,0,0,J10_112_0,J10_112_0,ideal_name,19,,0,0,False,False,-1,-1,NEW_MISSING
10_112(196).json,10_112,1,1,J10_112_1,J10_112_1,ideal_name,30,,0,0,False,False,-1,-1,NEW_MISSING
10_112(196).json,10_112,2,2,J10_112_2,J10_112_2,ideal_name,5,,0,0,False,False,1,1,NEW_MISSING
10_112(196).json,10_112,3,3,J10_112_3,J10_112_3,ideal_name,1,,0,0,False,False,-1,-1,NEW_MISSING
10_112(196).json,10_112,4,4,J10_112_4,J10_112_4,ideal_name,2,,0,0,False,False,1,1,NEW_MISSING
10_112(196).json,10_112,5,5,abJ10_112_5,abJ10_112_5,ideal_name,1,,0,0,True,True,1,1,NEW_MISSING
